time	ke_at_point[J/kg]
0	1261.19
0.0005	1177.64
0.001	1141.98
0.0015	1116.27
0.002	1095.8
0.0025	1080.36
0.003	1067.71
0.0035	1056.9
0.004	1047.26
0.0045	1038.15
0.005	1030.46
0.0055	1022.45
0.006	1015.37
0.0065	1008.72
0.007	1002.61
0.0075	997.034
0.008	992.346
0.0085	988.957
0.009	986.824
0.0095	985.572
0.01	984.839
0.0105	984.273
0.011	983.716
0.0115	983.157
0.012	982.407
0.0125	981.386
0.013	980.238
0.0135	978.534
0.014	976.59
0.0145	974.418
0.015	972.361
0.0155	970.104
0.016	967.983
0.0165	965.709
0.017	963.395
0.0175	961.4
0.018	959.757
0.0185	958.007
0.019	955.771
0.0195	953.225
0.02	950.892
0.0205	949.233
0.021	948.45
0.0215	948.292
0.022	947.903
0.0225	946.989
0.023	945.993
0.0235	945.692
0.024	946.597
0.0245	949.039
0.025	952.587
0.0255	953.424
0.026	953.044
0.0265	953.111
0.027	953.747
0.0275	954.231
0.028	954.609
0.0285	954.838
0.029	954.954
0.0295	955.03
0.03	955.088
0.0305	955.356
0.031	955.933
0.0315	956.668
0.032	956.561
0.0325	955.655
0.033	954.289
0.0335	952.867
0.034	951.235
0.0345	949.431
0.035	947.179
0.0355	944.954
0.036	943.652
0.0365	943.117
0.037	942.489
0.0375	941.586
0.038	940.418
0.0385	939.602
0.039	939.245
0.0395	939.27
0.04	939.051
0.0405	938.565
0.041	937.449
0.0415	936.13
0.042	935.296
0.0425	935.103
0.043	935.077
0.0435	935.008
0.044	934.459
0.0445	933.669
0.045	932.651
0.0455	931.294
0.046	929.652
0.0465	927.052
0.047	923.635
0.0475	919.911
0.048	916.416
0.0485	913.401
0.049	910.882
0.0495	908.916
0.05	907.523
0.0505	906.116
0.051	905.021
0.0515	903.789
0.052	902.525
0.0525	901.606
0.053	900.517
0.0535	900.025
0.054	899.781
0.0545	899.694
0.055	899.071
0.0555	898.381
0.056	897.918
0.0565	897.398
0.057	896.938
0.0575	896.54
0.058	896.199
0.0585	896.364
0.059	896.502
0.0595	896.711
0.06	897.354
0.0605	898.686
0.061	900.708
0.0615	902.852
0.062	904.476
0.0625	906.046
0.063	907.747
0.0635	909.865
0.064	912.376
0.0645	914.709
0.065	916.95
0.0655	919.445
0.066	921.365
0.0665	922.686
0.067	923.79
0.0675	924.654
0.068	924.976
0.0685	923.965
0.069	922.001
0.0695	919.47
0.07	916.77
0.0705	914.193
0.071	911.974
0.0715	910.424
0.072	909.206
0.0725	907.713
0.073	905.895
0.0735	904.29
0.074	903.1
0.0745	902.268
0.075	901.688
0.0755	901.588
0.076	901.293
0.0765	900.103
0.077	898.531
0.0775	896.889
0.078	895.362
0.0785	894.448
0.079	893.879
0.0795	892.613
0.08	891.846
0.0805	891.54
0.081	891.722
0.0815	891.963
0.082	892.446
0.0825	892.375
0.083	892.092
0.0835	891.67
0.084	891.225
0.0845	891.509
0.085	892.315
0.0855	892.622
0.086	892.542
0.0865	892.165
0.087	891.675
0.0875	889.848
0.088	887.943
0.0885	886.526
0.089	886.07
0.0895	887.384
0.09	889.286
0.0905	891.72
0.091	895.523
0.0915	899.601
0.092	902.681
0.0925	904.228
0.093	905.051
0.0935	903.923
0.094	901.285
0.0945	898.137
0.095	895.247
0.0955	892.83
0.096	891.19
0.0965	889.98
0.097	889.027
0.0975	887.447
0.098	884.811
0.0985	882.739
0.099	881.19
0.0995	880.715
0.1	881.44
0.1005	883.163
0.101	885.427
0.1015	888.358
0.102	891.638
0.1025	895.069
0.103	898.728
0.1035	902.468
0.104	906.586
0.1045	909.68
0.105	911.79
0.1055	913.016
0.106	914.076
0.1065	914.869
0.107	915.05
0.1075	914.987
0.108	914.549
0.1085	914.243
0.109	914.011
0.1095	913.95
0.11	913.805
0.1105	913.331
0.111	912.767
0.1115	912.07
0.112	911.513
0.1125	910.807
0.113	909.742
0.1135	908.538
0.114	906.834
0.1145	904.602
0.115	902.175
0.1155	899.97
0.116	898.081
0.1165	896.447
0.117	894.768
0.1175	893.213
0.118	891.68
0.1185	890.143
0.119	888.31
0.1195	886.664
0.12	884.926
0.1205	883.908
0.121	883.935
0.1215	884.908
0.122	886.059
0.1225	887.336
0.123	889.034
0.1235	891.054
0.124	893.404
0.1245	895.455
0.125	897.087
0.1255	897.282
0.126	896.929
0.1265	895.847
0.127	894.253
0.1275	892.439
0.128	891.145
